guardian_id,student_id,academic_year,term,student_fee_payment_days_late,student_fee_default_count_lifetime,session_start_paid_flag,guardian_message_open_rate,guardian_avg_response_time_hrs,fee_default_risk_label
GRD-00095,STU-00095,2025,Second_Term_Jan_Apr,32,2,0,20.7,61.5,MEDIUM
GRD-00096,STU-00096,2024,Third_Term_May_Jul,29,1,0,89.9,5.1,LOW
GRD-00097,STU-00097,2023,Second_Term_Jan_Apr,16,0,0,33.7,0.3,LOW
GRD-00098,STU-00098,2025,Third_Term_May_Jul,0,1,1,25.7,,LOW
GRD-00099,STU-00099,2025,Second_Term_Jan_Apr,0,2,1,23.9,71.1,LOW
GRD-00100,STU-00100,2025,First_Term_Sep_Dec,19,0,0,85.7,3.7,LOW
GRD-00101,STU-00101,2023,Third_Term_May_Jul,0,1,1,29.5,34.5,LOW
GRD-00102,STU-00102,2024,Second_Term_Jan_Apr,43,0,0,77.4,4.5,LOW
GRD-00103,STU-00103,2023,Third_Term_May_Jul,13,0,0,23.6,,LOW
GRD-00104,STU-00104,2024,Third_Term_May_Jul,121,5,0,1.9,,HIGH
GRD-00105,STU-00105,2024,Second_Term_Jan_Apr,23,0,0,38.8,0.3,LOW
GRD-00106,STU-00106,2025,First_Term_Sep_Dec,0,0,1,89.8,4.3,LOW
GRD-00107,STU-00107,2024,Second_Term_Jan_Apr,23,1,0,37.6,39.0,LOW
GRD-00108,STU-00108,2025,First_Term_Sep_Dec,90,3,0,9.9,,HIGH
GRD-00109,STU-00109,2025,Third_Term_May_Jul,25,0,0,90.3,2.0,LOW
GRD-00110,STU-00110,2024,First_Term_Sep_Dec,53,2,0,29.4,51.9,MEDIUM
GRD-00111,STU-00111,2025,Third_Term_May_Jul,20,0,0,38.8,0.3,LOW
GRD-00112,STU-00112,2023,Third_Term_May_Jul,28,1,0,90.6,5.9,LOW
GRD-00113,STU-00113,2024,Third_Term_May_Jul,22,1,0,89.4,7.3,LOW
GRD-00114,STU-00114,2023,First_Term_Sep_Dec,12,0,0,31.8,0.4,LOW
GRD-00115,STU-00115,2025,Third_Term_May_Jul,24,1,0,84.6,2.8,LOW
GRD-00116,STU-00116,2024,First_Term_Sep_Dec,16,0,0,26.4,0.2,LOW
GRD-00117,STU-00117,2023,Second_Term_Jan_Apr,33,0,0,79.8,3.5,LOW
GRD-00118,STU-00118,2025,Second_Term_Jan_Apr,137,6,0,3.5,,HIGH
GRD-00119,STU-00119,2023,First_Term_Sep_Dec,38,1,0,18.2,68.5,MEDIUM
GRD-00120,STU-00120,2025,First_Term_Sep_Dec,11,0,0,30.3,,LOW
GRD-00121,STU-00121,2024,First_Term_Sep_Dec,20,0,0,30.7,,MEDIUM
GRD-00122,STU-00122,2023,Third_Term_May_Jul,10,2,0,26.3,54.9,LOW
GRD-00123,STU-00123,2025,First_Term_Sep_Dec,37,1,0,31.9,62.0,MEDIUM
GRD-00124,STU-00124,2024,Second_Term_Jan_Apr,90,3,0,4.1,,HIGH
GRD-00125,STU-00125,2024,First_Term_Sep_Dec,90,6,0,6.6,,HIGH
GRD-00126,STU-00126,2025,Second_Term_Jan_Apr,46,1,0,80.2,2.6,LOW
GRD-00127,STU-00127,2024,Third_Term_May_Jul,25,0,0,95.9,3.8,LOW
GRD-00128,STU-00128,2024,First_Term_Sep_Dec,13,0,0,38.4,,LOW
GRD-00129,STU-00129,2025,Third_Term_May_Jul,15,0,0,36.8,0.5,LOW
GRD-00130,STU-00130,2023,First_Term_Sep_Dec,13,0,0,96.1,2.7,LOW
GRD-00131,STU-00131,2025,Second_Term_Jan_Apr,42,1,0,73.5,7.2,LOW
GRD-00132,STU-00132,2025,Second_Term_Jan_Apr,0,1,1,23.2,43.1,LOW
GRD-00133,STU-00133,2023,First_Term_Sep_Dec,0,0,1,98.5,4.2,LOW
GRD-00134,STU-00134,2024,Third_Term_May_Jul,23,0,0,33.4,0.4,LOW
GRD-00135,STU-00135,2023,Third_Term_May_Jul,18,0,0,31.3,,MEDIUM
GRD-00136,STU-00136,2023,Second_Term_Jan_Apr,0,2,1,19.2,84.1,LOW
GRD-00137,STU-00137,2025,Second_Term_Jan_Apr,22,1,0,26.9,64.2,LOW
GRD-00138,STU-00138,2025,Third_Term_May_Jul,19,0,0,34.7,0.4,LOW
GRD-00139,STU-00139,2024,First_Term_Sep_Dec,57,2,0,20.9,69.4,MEDIUM
GRD-00140,STU-00140,2024,Third_Term_May_Jul,154,1,0,4.0,,HIGH
GRD-00141,STU-00141,2025,Second_Term_Jan_Apr,40,0,0,75.4,5.1,LOW
GRD-00142,STU-00142,2023,Third_Term_May_Jul,16,1,0,19.9,79.3,LOW
GRD-00143,STU-00143,2023,Third_Term_May_Jul,151,7,0,3.6,,HIGH
GRD-00144,STU-00144,2024,First_Term_Sep_Dec,16,0,0,25.3,,MEDIUM
GRD-00145,STU-00145,2023,Third_Term_May_Jul,29,0,0,97.3,3.9,LOW
GRD-00146,STU-00146,2024,First_Term_Sep_Dec,18,0,0,99.2,3.8,LOW
GRD-00147,STU-00147,2023,Second_Term_Jan_Apr,123,5,0,5.8,,HIGH
GRD-00148,STU-00148,2025,Second_Term_Jan_Apr,40,0,0,84.5,7.0,LOW
GRD-00149,STU-00149,2024,Second_Term_Jan_Apr,41,0,0,73.9,4.8,LOW
GRD-00150,STU-00150,2023,Third_Term_May_Jul,0,1,0,30.0,64.2,LOW
GRD-00151,STU-00151,2025,Second_Term_Jan_Apr,94,4,0,3.8,,HIGH
GRD-00152,STU-00152,2025,Third_Term_May_Jul,199,3,0,0.0,,HIGH
GRD-00153,STU-00153,2024,Second_Term_Jan_Apr,49,1,0,20.1,83.0,MEDIUM
GRD-00154,STU-00154,2023,Second_Term_Jan_Apr,33,2,0,72.0,5.2,LOW
GRD-00155,STU-00155,2023,Third_Term_May_Jul,16,0,0,35.2,,MEDIUM
GRD-00156,STU-00156,2025,First_Term_Sep_Dec,100,4,0,6.7,,HIGH
GRD-00157,STU-00157,2023,Second_Term_Jan_Apr,35,1,0,78.9,1.2,LOW
GRD-00158,STU-00158,2025,Second_Term_Jan_Apr,92,2,0,5.7,,HIGH
GRD-00159,STU-00159,2024,Second_Term_Jan_Apr,21,0,0,28.0,,MEDIUM
GRD-00160,STU-00160,2025,Second_Term_Jan_Apr,37,0,0,84.1,2.8,LOW
GRD-00161,STU-00161,2023,First_Term_Sep_Dec,0,2,1,40.3,57.3,LOW
GRD-00162,STU-00162,2023,Third_Term_May_Jul,145,6,0,2.5,,HIGH
GRD-00163,STU-00163,2025,Third_Term_May_Jul,29,2,0,36.2,51.0,LOW
GRD-00164,STU-00164,2025,First_Term_Sep_Dec,15,0,0,26.0,,MEDIUM
GRD-00165,STU-00165,2024,First_Term_Sep_Dec,9,0,0,20.8,,LOW
GRD-00166,STU-00166,2025,First_Term_Sep_Dec,24,0,0,35.0,,MEDIUM
GRD-00167,STU-00167,2023,First_Term_Sep_Dec,23,1,0,92.1,7.0,LOW
GRD-00168,STU-00168,2025,Second_Term_Jan_Apr,32,1,0,23.9,61.0,MEDIUM
GRD-00169,STU-00169,2024,Second_Term_Jan_Apr,14,0,0,33.2,,LOW
GRD-00170,STU-00170,2023,First_Term_Sep_Dec,20,0,0,26.7,,MEDIUM
GRD-00171,STU-00171,2023,Third_Term_May_Jul,24,1,0,99.9,1.6,LOW
GRD-00172,STU-00172,2023,First_Term_Sep_Dec,0,2,1,23.6,60.0,LOW
GRD-00173,STU-00173,2024,Third_Term_May_Jul,31,0,0,37.6,62.2,LOW
GRD-00174,STU-00174,2024,Third_Term_May_Jul,152,4,0,4.6,,HIGH
GRD-00175,STU-00175,2025,Second_Term_Jan_Apr,120,1,0,7.3,,HIGH
GRD-00176,STU-00176,2024,Second_Term_Jan_Apr,19,0,0,29.9,,MEDIUM
GRD-00177,STU-00177,2025,Third_Term_May_Jul,77,1,0,18.6,57.3,MEDIUM
GRD-00178,STU-00178,2024,Third_Term_May_Jul,25,0,0,90.3,3.7,LOW
GRD-00179,STU-00179,2024,Third_Term_May_Jul,29,0,0,92.9,6.5,LOW
GRD-00180,STU-00180,2025,Second_Term_Jan_Apr,17,0,0,31.5,0.4,LOW
GRD-00181,STU-00181,2023,First_Term_Sep_Dec,15,0,0,27.7,,MEDIUM
GRD-00182,STU-00182,2024,Second_Term_Jan_Apr,16,0,0,30.3,,MEDIUM
GRD-00183,STU-00183,2024,First_Term_Sep_Dec,17,0,0,33.3,0.4,LOW
GRD-00184,STU-00184,2025,First_Term_Sep_Dec,90,2,0,8.4,,HIGH
GRD-00185,STU-00185,2024,Second_Term_Jan_Apr,6,2,0,20.3,53.7,LOW
GRD-00186,STU-00186,2024,Third_Term_May_Jul,0,1,0,27.4,61.5,LOW
GRD-00187,STU-00187,2024,Third_Term_May_Jul,27,0,0,92.1,4.7,LOW
GRD-00188,STU-00188,2025,Second_Term_Jan_Apr,40,1,0,83.8,2.8,LOW
GRD-00189,STU-00189,2024,Second_Term_Jan_Apr,134,5,0,6.8,,HIGH
GRD-00190,STU-00190,2024,First_Term_Sep_Dec,39,0,0,22.7,73.8,LOW
GRD-00191,STU-00191,2025,First_Term_Sep_Dec,13,0,0,24.1,0.4,LOW
GRD-00192,STU-00192,2024,Second_Term_Jan_Apr,133,7,0,2.2,,HIGH
GRD-00193,STU-00193,2025,Third_Term_May_Jul,26,2,0,40.1,66.8,LOW
GRD-00194,STU-00194,2024,First_Term_Sep_Dec,27,2,0,28.0,89.1,LOW
GRD-00195,STU-00195,2025,Second_Term_Jan_Apr,45,0,0,81.6,7.3,LOW
GRD-00196,STU-00196,2025,First_Term_Sep_Dec,23,0,0,33.4,,MEDIUM
GRD-00197,STU-00197,2024,Second_Term_Jan_Apr,0,2,0,29.6,80.4,LOW
GRD-00198,STU-00198,2025,First_Term_Sep_Dec,15,0,0,34.1,,MEDIUM
GRD-00199,STU-00199,2024,Second_Term_Jan_Apr,73,2,0,24.4,65.0,MEDIUM
GRD-00200,STU-00200,2025,Third_Term_May_Jul,45,1,0,28.6,81.7,MEDIUM
GRD-00201,STU-00201,2023,First_Term_Sep_Dec,15,0,0,28.6,0.6,LOW
GRD-00202,STU-00202,2025,Second_Term_Jan_Apr,36,1,0,83.9,3.0,LOW
GRD-00203,STU-00203,2023,First_Term_Sep_Dec,0,1,0,36.8,48.8,LOW
GRD-00204,STU-00204,2025,Second_Term_Jan_Apr,55,1,0,91.3,5.1,LOW
GRD-00205,STU-00205,2023,Third_Term_May_Jul,19,0,0,24.8,,MEDIUM
GRD-00206,STU-00206,2023,First_Term_Sep_Dec,90,2,0,3.9,,HIGH
GRD-00207,STU-00207,2023,Third_Term_May_Jul,57,1,0,33.9,73.8,MEDIUM
GRD-00208,STU-00208,2023,Second_Term_Jan_Apr,38,1,0,86.3,4.4,LOW
GRD-00209,STU-00209,2025,Third_Term_May_Jul,137,4,0,1.3,,HIGH
GRD-00210,STU-00210,2023,Second_Term_Jan_Apr,0,2,0,16.8,47.5,LOW
GRD-00211,STU-00211,2024,First_Term_Sep_Dec,21,0,0,25.9,0.7,LOW
GRD-00212,STU-00212,2023,First_Term_Sep_Dec,19,0,0,88.0,1.8,LOW
GRD-00213,STU-00213,2024,Second_Term_Jan_Apr,16,0,0,22.5,,MEDIUM
GRD-00214,STU-00214,2025,Third_Term_May_Jul,49,2,0,18.6,71.0,MEDIUM
GRD-00215,STU-00215,2024,Second_Term_Jan_Apr,139,4,0,5.0,,HIGH
GRD-00216,STU-00216,2025,Third_Term_May_Jul,24,1,0,28.4,62.0,LOW
GRD-00217,STU-00217,2023,First_Term_Sep_Dec,16,0,0,25.1,0.2,LOW
GRD-00218,STU-00218,2023,Second_Term_Jan_Apr,58,2,0,26.4,63.4,MEDIUM
GRD-00219,STU-00219,2023,Third_Term_May_Jul,32,1,0,83.2,1.7,LOW
GRD-00220,STU-00220,2023,Second_Term_Jan_Apr,39,1,0,81.1,5.0,LOW
GRD-00221,STU-00221,2023,First_Term_Sep_Dec,72,1,0,27.2,77.5,MEDIUM
GRD-00222,STU-00222,2023,Second_Term_Jan_Apr,24,0,0,28.3,,MEDIUM
GRD-00223,STU-00223,2024,Third_Term_May_Jul,34,1,0,91.5,3.4,LOW
GRD-00224,STU-00224,2023,Third_Term_May_Jul,23,0,0,86.1,4.1,LOW
GRD-00225,STU-00225,2023,First_Term_Sep_Dec,19,0,0,31.1,,MEDIUM
GRD-00226,STU-00226,2025,First_Term_Sep_Dec,23,0,0,83.6,2.9,LOW
GRD-00227,STU-00227,2024,Third_Term_May_Jul,21,0,0,30.6,,MEDIUM
GRD-00228,STU-00228,2025,Second_Term_Jan_Apr,43,0,0,75.7,6.1,LOW
GRD-00229,STU-00229,2024,Second_Term_Jan_Apr,32,1,0,72.9,2.0,LOW
GRD-00230,STU-00230,2024,First_Term_Sep_Dec,61,2,0,28.8,65.3,MEDIUM
GRD-00231,STU-00231,2023,First_Term_Sep_Dec,4,0,0,20.7,67.4,LOW
GRD-00232,STU-00232,2025,Third_Term_May_Jul,18,0,0,87.3,1.7,LOW
GRD-00233,STU-00233,2024,Second_Term_Jan_Apr,25,0,0,30.6,,MEDIUM
GRD-00234,STU-00234,2024,Third_Term_May_Jul,29,1,0,96.8,2.7,LOW
GRD-00235,STU-00235,2024,Second_Term_Jan_Apr,10,1,0,28.8,71.1,LOW
GRD-00236,STU-00236,2024,Third_Term_May_Jul,26,3,0,30.4,46.5,MEDIUM
GRD-00237,STU-00237,2024,Third_Term_May_Jul,29,1,0,100.0,4.1,LOW
GRD-00238,STU-00238,2025,Second_Term_Jan_Apr,28,1,0,80.0,7.3,LOW
GRD-00239,STU-00239,2024,Second_Term_Jan_Apr,22,0,0,36.5,,MEDIUM
GRD-00240,STU-00240,2025,Third_Term_May_Jul,124,6,0,1.2,,HIGH
GRD-00241,STU-00241,2025,Second_Term_Jan_Apr,113,5,0,4.9,,HIGH
GRD-00242,STU-00242,2024,Third_Term_May_Jul,32,1,0,31.2,66.2,MEDIUM
GRD-00243,STU-00243,2025,Second_Term_Jan_Apr,38,2,0,31.1,72.9,MEDIUM
GRD-00244,STU-00244,2023,First_Term_Sep_Dec,16,0,0,30.2,,MEDIUM
GRD-00245,STU-00245,2023,Second_Term_Jan_Apr,18,0,0,31.5,0.6,LOW
GRD-00246,STU-00246,2025,Third_Term_May_Jul,14,0,0,32.8,,LOW
GRD-00247,STU-00247,2024,First_Term_Sep_Dec,90,6,0,2.3,,HIGH
GRD-00248,STU-00248,2025,Second_Term_Jan_Apr,18,0,0,28.7,,MEDIUM
GRD-00249,STU-00249,2023,Third_Term_May_Jul,0,0,1,21.2,37.4,LOW
GRD-00250,STU-00250,2025,Third_Term_May_Jul,22,0,0,97.0,5.0,LOW
GRD-00251,STU-00251,2024,Second_Term_Jan_Apr,29,0,0,33.8,,MEDIUM
GRD-00252,STU-00252,2024,Third_Term_May_Jul,15,2,0,15.4,41.6,LOW
GRD-00253,STU-00253,2023,First_Term_Sep_Dec,36,2,0,29.9,58.6,MEDIUM
GRD-00254,STU-00254,2023,Second_Term_Jan_Apr,121,5,0,4.6,,HIGH
GRD-00255,STU-00255,2023,Second_Term_Jan_Apr,40,0,0,78.4,3.1,LOW
GRD-00256,STU-00256,2023,Second_Term_Jan_Apr,21,0,0,26.4,,MEDIUM
GRD-00257,STU-00257,2025,Second_Term_Jan_Apr,23,0,0,20.6,,MEDIUM
GRD-00258,STU-00258,2024,Second_Term_Jan_Apr,12,2,0,25.9,57.8,LOW
GRD-00259,STU-00259,2025,First_Term_Sep_Dec,16,0,0,26.3,0.3,LOW
GRD-00260,STU-00260,2025,First_Term_Sep_Dec,16,0,0,92.5,3.6,LOW
GRD-00261,STU-00261,2024,First_Term_Sep_Dec,24,0,0,25.1,0.4,LOW
GRD-00262,STU-00262,2023,Second_Term_Jan_Apr,8,1,0,29.1,80.3,LOW
GRD-00263,STU-00263,2025,Second_Term_Jan_Apr,31,1,0,28.9,91.4,MEDIUM
GRD-00264,STU-00264,2024,First_Term_Sep_Dec,15,0,0,88.6,1.2,LOW
GRD-00265,STU-00265,2023,Second_Term_Jan_Apr,123,2,0,2.0,,HIGH
GRD-00266,STU-00266,2025,Third_Term_May_Jul,0,3,1,25.1,68.4,LOW
GRD-00267,STU-00267,2025,Third_Term_May_Jul,14,0,0,28.4,0.8,LOW
GRD-00268,STU-00268,2023,Third_Term_May_Jul,17,0,0,31.3,0.3,LOW
GRD-00269,STU-00269,2023,Third_Term_May_Jul,14,1,0,39.0,70.4,LOW
GRD-00270,STU-00270,2023,Second_Term_Jan_Apr,2,2,0,16.4,89.6,LOW
GRD-00271,STU-00271,2023,First_Term_Sep_Dec,22,0,0,27.0,0.1,LOW
GRD-00272,STU-00272,2024,First_Term_Sep_Dec,12,0,0,96.8,3.0,LOW
GRD-00273,STU-00273,2024,Third_Term_May_Jul,31,1,0,93.5,1.9,LOW
GRD-00274,STU-00274,2024,Second_Term_Jan_Apr,101,6,0,7.8,,HIGH
GRD-00275,STU-00275,2023,First_Term_Sep_Dec,0,2,1,40.5,61.5,LOW
GRD-00276,STU-00276,2023,Third_Term_May_Jul,62,2,0,31.0,74.5,MEDIUM
GRD-00277,STU-00277,2024,Second_Term_Jan_Apr,46,0,0,79.0,1.3,LOW
GRD-00278,STU-00278,2023,Third_Term_May_Jul,32,2,0,31.8,57.7,MEDIUM
GRD-00279,STU-00279,2025,First_Term_Sep_Dec,15,0,0,95.4,5.9,LOW
GRD-00280,STU-00280,2025,First_Term_Sep_Dec,61,1,0,32.3,52.1,MEDIUM
GRD-00281,STU-00281,2024,First_Term_Sep_Dec,22,1,0,90.8,2.3,LOW
GRD-00282,STU-00282,2025,Third_Term_May_Jul,39,2,0,36.4,76.7,MEDIUM
GRD-00283,STU-00283,2024,Third_Term_May_Jul,117,5,0,3.7,,HIGH
GRD-00284,STU-00284,2025,Second_Term_Jan_Apr,132,5,0,6.3,,HIGH
GRD-00285,STU-00285,2024,Second_Term_Jan_Apr,123,6,0,0.9,,HIGH
GRD-00286,STU-00286,2023,Third_Term_May_Jul,27,0,0,98.1,3.5,LOW
GRD-00287,STU-00287,2023,Second_Term_Jan_Apr,42,0,0,81.0,4.1,LOW
GRD-00288,STU-00288,2024,Second_Term_Jan_Apr,35,0,0,79.4,6.1,LOW
GRD-00289,STU-00289,2024,Third_Term_May_Jul,0,1,1,25.2,78.3,LOW
GRD-00290,STU-00290,2023,Third_Term_May_Jul,66,1,0,26.0,92.9,MEDIUM
GRD-00291,STU-00291,2023,Second_Term_Jan_Apr,122,0,0,6.6,,HIGH
GRD-00292,STU-00292,2023,First_Term_Sep_Dec,23,0,0,26.0,0.5,LOW
GRD-00293,STU-00293,2025,Third_Term_May_Jul,27,1,0,18.8,64.4,LOW
