student_id,tenant_id,school_type,academic_year,term,fee_payment_days_late,paid_before_resumption,attendance_rate,consecutive_absences,score_avg,subject_failure_count,dropout_risk_label
STU-00064,3,public_state,2024,Term2_Jan_Apr,11.1,0,59.8,3,45.9,4,MEDIUM
STU-00065,2,low_cost_private,2024,Term3_Apr_Jul,70.1,0,36.9,9,42.3,2,HIGH
STU-00066,1,elite_private,2025,Term3_Apr_Jul,0,1,71.3,2,68.5,0,LOW
STU-00067,2,low_cost_private,2024,Term3_Apr_Jul,55.0,0,53.3,10,42.9,2,HIGH
STU-00068,2,low_cost_private,2025,Term3_Apr_Jul,85.3,0,45.5,9,35.4,5,HIGH
STU-00069,2,low_cost_private,2025,Term3_Apr_Jul,39.7,0,51.6,5,43.1,2,MEDIUM
STU-00070,3,public_state,2024,Term3_Apr_Jul,20.3,0,43.9,1,37.9,3,HIGH
STU-00071,1,elite_private,2025,Term2_Jan_Apr,8.7,0,63.8,3,48.4,2,MEDIUM
STU-00072,2,low_cost_private,2023,Term2_Jan_Apr,26.8,0,83.9,0,54.6,2,LOW
STU-00073,1,elite_private,2024,Term3_Apr_Jul,0,1,100,0,98.7,0,LOW
STU-00074,3,public_state,2024,Term2_Jan_Apr,10.7,0,55.9,9,61.6,0,MEDIUM
STU-00075,3,public_state,2023,Term1_Sep_Dec,16.7,0,68.7,3,46.0,3,MEDIUM
STU-00076,2,low_cost_private,2023,Term1_Sep_Dec,76.6,0,45.0,10,61.4,1,HIGH
STU-00077,3,public_state,2025,Term3_Apr_Jul,18.3,0,51.1,7,46.2,2,MEDIUM
STU-00078,3,public_state,2025,Term3_Apr_Jul,19.2,0,55.9,7,38.4,2,HIGH
STU-00079,1,elite_private,2024,Term3_Apr_Jul,0,1,99.6,0,90.2,0,LOW
STU-00080,1,elite_private,2025,Term3_Apr_Jul,0.4,0,100,0,94.4,0,LOW
STU-00081,1,elite_private,2025,Term3_Apr_Jul,0,1,99.2,1,80.9,0,LOW
STU-00082,2,low_cost_private,2024,Term2_Jan_Apr,69.4,0,57.4,4,32.1,5,HIGH
STU-00083,1,elite_private,2024,Term1_Sep_Dec,0,1,99.2,1,97.9,0,LOW
STU-00084,3,public_state,2024,Term2_Jan_Apr,6.9,0,89.2,0,70.0,0,LOW
STU-00085,1,elite_private,2024,Term1_Sep_Dec,0,1,100,0,88.1,0,LOW
STU-00086,1,elite_private,2023,Term3_Apr_Jul,0,1,100,0,100,0,LOW
STU-00087,3,public_state,2025,Term2_Jan_Apr,52.4,0,51.5,7,26.0,3,HIGH
STU-00088,1,elite_private,2025,Term1_Sep_Dec,0,1,97.7,2,89.3,0,LOW
STU-00089,3,public_state,2024,Term3_Apr_Jul,15.6,0,59.4,1,25,2,MEDIUM
STU-00090,2,low_cost_private,2025,Term3_Apr_Jul,80.0,0,65.0,8,33.7,5,HIGH
STU-00091,3,public_state,2023,Term2_Jan_Apr,1.2,0,57.5,0,20,6,MEDIUM
STU-00092,3,public_state,2025,Term1_Sep_Dec,13.2,0,64.7,0,50.2,2,MEDIUM
STU-00093,1,elite_private,2024,Term1_Sep_Dec,10.1,0,76.3,0,67.0,0,LOW
STU-00094,2,low_cost_private,2025,Term3_Apr_Jul,64.9,0,43.3,4,56.6,1,HIGH
STU-00095,1,elite_private,2025,Term3_Apr_Jul,14,0,,,,,WITHDRAWN
STU-00096,2,low_cost_private,2024,Term1_Sep_Dec,58.5,0,55.3,5,40.5,3,HIGH
STU-00097,2,low_cost_private,2023,Term3_Apr_Jul,66.3,0,70.8,0,51.6,2,MEDIUM
STU-00098,1,elite_private,2025,Term2_Jan_Apr,0,1,100,0,95.3,0,LOW
STU-00099,1,elite_private,2024,Term2_Jan_Apr,0.8,0,84.4,7,59.7,0,LOW
STU-00100,1,elite_private,2025,Term2_Jan_Apr,0,1,99.2,1,99.9,0,LOW
STU-00101,1,elite_private,2025,Term3_Apr_Jul,0,1,90.0,0,53.6,3,LOW
STU-00102,1,elite_private,2023,Term2_Jan_Apr,14,0,,,,,WITHDRAWN
STU-00103,3,public_state,2023,Term3_Apr_Jul,12.8,0,44.4,1,29.1,3,MEDIUM
STU-00104,3,public_state,2023,Term1_Sep_Dec,59.0,0,34.1,0,29.5,3,HIGH
STU-00105,1,elite_private,2024,Term2_Jan_Apr,10.4,0,66.4,2,56.8,1,LOW
STU-00106,3,public_state,2024,Term3_Apr_Jul,4.5,0,80.8,0,73.9,0,LOW
STU-00107,1,elite_private,2025,Term2_Jan_Apr,14,0,,,,,WITHDRAWN
STU-00108,2,low_cost_private,2023,Term3_Apr_Jul,36.3,0,34.0,4,20,3,HIGH
STU-00109,1,elite_private,2024,Term1_Sep_Dec,11.4,0,77.1,6,52.5,1,MEDIUM
STU-00110,2,low_cost_private,2025,Term3_Apr_Jul,28.2,0,59.2,0,22.2,4,MEDIUM
STU-00111,1,elite_private,2024,Term3_Apr_Jul,0,1,97.6,3,80.0,0,LOW
STU-00112,3,public_state,2024,Term3_Apr_Jul,6.1,0,87.2,0,81.6,0,LOW
STU-00113,1,elite_private,2025,Term3_Apr_Jul,13.8,0,76.6,4,85,0,LOW
STU-00114,2,low_cost_private,2024,Term1_Sep_Dec,21.9,0,51.5,3,20,3,HIGH
STU-00115,2,low_cost_private,2023,Term1_Sep_Dec,34.7,0,43.1,9,33.3,3,HIGH
STU-00116,3,public_state,2023,Term3_Apr_Jul,19.3,0,34.8,0,48.4,1,MEDIUM
STU-00117,3,public_state,2025,Term1_Sep_Dec,23.5,0,55.6,3,25,3,HIGH
STU-00118,2,low_cost_private,2025,Term2_Jan_Apr,28.1,0,62.1,7,53.4,1,MEDIUM
STU-00119,2,low_cost_private,2025,Term3_Apr_Jul,84.6,0,47.8,6,28.9,5,HIGH
STU-00120,2,low_cost_private,2025,Term3_Apr_Jul,12.1,0,28.7,13,62.6,0,MEDIUM
STU-00121,3,public_state,2024,Term2_Jan_Apr,22.2,0,72.0,10,28.7,2,MEDIUM
STU-00122,3,public_state,2023,Term2_Jan_Apr,28.4,0,33.4,8,20,3,HIGH
STU-00123,2,low_cost_private,2025,Term2_Jan_Apr,16.6,0,89.9,1,82.7,0,LOW
STU-00124,2,low_cost_private,2024,Term1_Sep_Dec,21.6,0,63.4,2,20,3,MEDIUM
STU-00125,2,low_cost_private,2025,Term3_Apr_Jul,16.4,0,87.6,1,72.1,0,LOW
STU-00126,2,low_cost_private,2024,Term2_Jan_Apr,19.8,0,90.0,1,71.3,0,LOW
STU-00127,1,elite_private,2025,Term3_Apr_Jul,0,1,100,0,93.6,0,LOW
STU-00128,2,low_cost_private,2023,Term1_Sep_Dec,25.9,0,48.3,11,38.8,5,HIGH
STU-00129,2,low_cost_private,2024,Term2_Jan_Apr,41.7,0,52.3,5,53.5,3,HIGH
STU-00130,1,elite_private,2023,Term3_Apr_Jul,0,1,100,0,94.9,0,LOW
STU-00131,1,elite_private,2024,Term3_Apr_Jul,0,1,98.9,1,97.4,0,LOW
STU-00132,1,elite_private,2023,Term3_Apr_Jul,0,1,100,0,91.6,0,LOW
STU-00133,2,low_cost_private,2023,Term2_Jan_Apr,68.8,0,57.4,7,40.7,4,HIGH
STU-00134,2,low_cost_private,2023,Term2_Jan_Apr,39.3,0,44.9,7,35.2,5,HIGH
STU-00135,2,low_cost_private,2025,Term1_Sep_Dec,70.5,0,64.7,0,36.8,4,HIGH
STU-00136,1,elite_private,2024,Term1_Sep_Dec,0,1,100,0,88.9,0,LOW
STU-00137,2,low_cost_private,2025,Term3_Apr_Jul,82.9,0,47.1,0,32.8,3,HIGH
STU-00138,1,elite_private,2025,Term2_Jan_Apr,0,1,100,0,93.0,0,LOW
STU-00139,1,elite_private,2023,Term2_Jan_Apr,14,0,,,,,WITHDRAWN
STU-00140,2,low_cost_private,2023,Term3_Apr_Jul,49.0,0,47.9,13,28.5,4,HIGH
STU-00141,1,elite_private,2024,Term1_Sep_Dec,14,0,,,,,WITHDRAWN
STU-00142,3,public_state,2025,Term3_Apr_Jul,5.3,0,67.3,2,27.9,4,MEDIUM
STU-00143,2,low_cost_private,2023,Term2_Jan_Apr,69.1,0,48.0,4,47.0,4,HIGH
STU-00144,1,elite_private,2025,Term1_Sep_Dec,14,0,,,,,WITHDRAWN
STU-00145,1,elite_private,2023,Term3_Apr_Jul,0,1,100,0,94.5,0,LOW
STU-00146,3,public_state,2025,Term3_Apr_Jul,5.9,0,79.2,1,76.1,0,LOW
STU-00147,2,low_cost_private,2023,Term2_Jan_Apr,65.2,0,58.4,2,44.6,2,MEDIUM
STU-00148,1,elite_private,2025,Term2_Jan_Apr,0,1,99.2,1,93.5,0,LOW
STU-00149,1,elite_private,2023,Term2_Jan_Apr,0,1,100,0,87.0,0,LOW
STU-00150,2,low_cost_private,2023,Term3_Apr_Jul,92.4,0,57.1,0,31.5,5,HIGH
STU-00151,3,public_state,2024,Term2_Jan_Apr,8.7,0,66.0,1,49.6,2,MEDIUM
STU-00152,2,low_cost_private,2025,Term2_Jan_Apr,25.1,0,53.1,10,35.8,3,HIGH
STU-00153,2,low_cost_private,2023,Term3_Apr_Jul,51.4,0,56.4,5,44.3,2,MEDIUM
STU-00154,2,low_cost_private,2023,Term2_Jan_Apr,70.2,0,79.8,0,46.1,3,MEDIUM
STU-00155,1,elite_private,2024,Term2_Jan_Apr,14,0,,,,,WITHDRAWN
STU-00156,1,elite_private,2023,Term2_Jan_Apr,0,1,69.7,3,58.8,1,MEDIUM
STU-00157,2,low_cost_private,2024,Term3_Apr_Jul,17.6,0,86.2,0,71.0,0,LOW
STU-00158,3,public_state,2024,Term2_Jan_Apr,5.1,0,90.4,0,77.2,0,LOW
STU-00159,2,low_cost_private,2025,Term3_Apr_Jul,38.8,0,56.1,12,41.1,2,HIGH
STU-00160,3,public_state,2025,Term2_Jan_Apr,7.4,0,90.2,0,70.1,0,LOW
STU-00161,3,public_state,2023,Term2_Jan_Apr,3.5,0,89.4,2,75.7,0,LOW
STU-00162,2,low_cost_private,2023,Term3_Apr_Jul,49.0,0,46.8,9,22.6,4,HIGH
STU-00163,3,public_state,2024,Term3_Apr_Jul,19.2,0,41.4,4,42.3,3,HIGH
STU-00164,3,public_state,2024,Term3_Apr_Jul,56.5,0,39.8,0,27.3,5,HIGH
STU-00165,2,low_cost_private,2025,Term2_Jan_Apr,70.9,0,54.1,15,47.2,1,HIGH
STU-00166,1,elite_private,2023,Term1_Sep_Dec,0,1,100,0,90.3,0,LOW
STU-00167,2,low_cost_private,2024,Term3_Apr_Jul,19.9,0,49.6,4,32.9,3,HIGH
STU-00168,3,public_state,2023,Term1_Sep_Dec,60,0,45.6,1,25.1,5,HIGH
STU-00169,2,low_cost_private,2025,Term2_Jan_Apr,18.2,0,90.0,1,72.5,0,LOW
STU-00170,1,elite_private,2024,Term2_Jan_Apr,0,1,99.2,1,94.8,0,LOW
STU-00171,3,public_state,2024,Term1_Sep_Dec,15.4,0,59.5,1,29.7,2,MEDIUM
STU-00172,1,elite_private,2025,Term1_Sep_Dec,0,1,100,0,95.8,0,LOW
STU-00173,1,elite_private,2024,Term3_Apr_Jul,13.7,0,86.4,0,48.5,3,LOW
STU-00174,2,low_cost_private,2023,Term1_Sep_Dec,34.0,0,55.2,11,25.2,4,HIGH
STU-00175,3,public_state,2024,Term1_Sep_Dec,22.4,0,43.0,9,20,3,HIGH
STU-00176,1,elite_private,2025,Term2_Jan_Apr,0,1,98.4,2,98.8,0,LOW
STU-00177,2,low_cost_private,2024,Term1_Sep_Dec,85.5,0,34.3,11,33.5,4,HIGH
STU-00178,3,public_state,2024,Term3_Apr_Jul,14.7,0,47.1,6,63.5,0,MEDIUM
STU-00179,2,low_cost_private,2025,Term3_Apr_Jul,70.8,0,41.3,12,33.3,3,HIGH
STU-00180,3,public_state,2023,Term1_Sep_Dec,4.8,0,89.5,1,64.9,0,LOW
STU-00181,2,low_cost_private,2025,Term2_Jan_Apr,39.4,0,38.9,16,35.4,5,HIGH
STU-00182,2,low_cost_private,2023,Term3_Apr_Jul,40.7,0,58.7,0,39.0,5,HIGH
STU-00183,2,low_cost_private,2023,Term2_Jan_Apr,60.0,0,35.5,11,28.8,4,HIGH
STU-00184,1,elite_private,2024,Term1_Sep_Dec,12.5,0,67.6,2,85,0,LOW
STU-00185,1,elite_private,2024,Term1_Sep_Dec,1.8,0,54.5,3,70.5,0,LOW
STU-00186,2,low_cost_private,2023,Term1_Sep_Dec,75.5,0,53.0,8,26.3,3,HIGH
STU-00187,1,elite_private,2024,Term1_Sep_Dec,14,0,,,,,WITHDRAWN
STU-00188,1,elite_private,2024,Term3_Apr_Jul,0,1,97.0,2,90.7,0,LOW
STU-00189,1,elite_private,2024,Term1_Sep_Dec,0,1,99.2,1,90.4,0,LOW
STU-00190,2,low_cost_private,2023,Term1_Sep_Dec,19.1,0,86.6,2,66.5,0,LOW
STU-00191,1,elite_private,2024,Term3_Apr_Jul,0.4,0,100,0,90.4,0,LOW
STU-00192,2,low_cost_private,2025,Term3_Apr_Jul,92.1,0,53.6,4,33.2,3,HIGH
STU-00193,3,public_state,2025,Term3_Apr_Jul,11.8,0,46.7,1,25.6,2,MEDIUM
STU-00194,2,low_cost_private,2025,Term3_Apr_Jul,36.2,0,43.8,5,20,4,HIGH
STU-00195,3,public_state,2023,Term1_Sep_Dec,14.0,0,56.6,3,31.8,5,HIGH
STU-00196,3,public_state,2023,Term3_Apr_Jul,26.4,0,19.2,1,20,3,HIGH
STU-00197,2,low_cost_private,2024,Term3_Apr_Jul,41.9,0,31.8,4,34.4,3,HIGH
STU-00198,1,elite_private,2023,Term2_Jan_Apr,9.0,0,90.0,0,62.5,0,LOW
STU-00199,2,low_cost_private,2025,Term3_Apr_Jul,81.7,0,61.8,2,21.6,6,HIGH
STU-00200,1,elite_private,2025,Term2_Jan_Apr,0,1,99.2,1,87.0,0,LOW
STU-00201,1,elite_private,2025,Term3_Apr_Jul,0.7,0,97.6,3,97.2,0,LOW
STU-00202,1,elite_private,2023,Term1_Sep_Dec,0,1,98.4,2,96.9,0,LOW
STU-00203,3,public_state,2024,Term1_Sep_Dec,32.7,0,72.9,3,34.9,2,MEDIUM
STU-00204,1,elite_private,2023,Term1_Sep_Dec,14,0,,,,,WITHDRAWN
STU-00205,3,public_state,2023,Term2_Jan_Apr,31.8,0,70.5,1,47.0,1,MEDIUM
STU-00206,1,elite_private,2025,Term2_Jan_Apr,14,0,,,,,WITHDRAWN
STU-00207,2,low_cost_private,2025,Term1_Sep_Dec,68.1,0,48.3,13,46.6,3,HIGH
STU-00208,1,elite_private,2024,Term3_Apr_Jul,0,1,69.2,1,76.6,1,LOW
STU-00209,1,elite_private,2023,Term3_Apr_Jul,0,1,100,0,95.1,0,LOW
STU-00210,3,public_state,2024,Term2_Jan_Apr,30.3,0,37.4,9,20,3,HIGH
STU-00211,2,low_cost_private,2024,Term1_Sep_Dec,51.5,0,27.9,13,29.8,2,HIGH
STU-00212,1,elite_private,2024,Term1_Sep_Dec,0,1,100,0,82.8,0,LOW
STU-00213,2,low_cost_private,2023,Term3_Apr_Jul,29.6,0,36.0,4,20,4,HIGH
STU-00214,2,low_cost_private,2023,Term3_Apr_Jul,14.7,0,84.3,0,73.9,0,LOW
STU-00215,2,low_cost_private,2025,Term1_Sep_Dec,52.4,0,51.6,4,23.9,4,HIGH
STU-00216,1,elite_private,2025,Term2_Jan_Apr,6.3,0,75.3,0,52.1,2,LOW
STU-00217,1,elite_private,2025,Term2_Jan_Apr,1.7,0,99.2,1,100,0,LOW
STU-00218,2,low_cost_private,2025,Term1_Sep_Dec,21.9,0,54.9,1,63.8,0,MEDIUM
STU-00219,2,low_cost_private,2025,Term3_Apr_Jul,15.9,0,85.6,0,74.7,0,LOW
STU-00220,3,public_state,2023,Term1_Sep_Dec,19.6,0,45.1,8,49.8,1,HIGH
STU-00221,2,low_cost_private,2024,Term1_Sep_Dec,84.1,0,33.0,15,56.4,1,HIGH
STU-00222,1,elite_private,2023,Term1_Sep_Dec,0,1,98.4,1,94.0,0,LOW
STU-00223,2,low_cost_private,2023,Term3_Apr_Jul,36.0,0,40.7,8,23.6,4,HIGH
STU-00224,2,low_cost_private,2025,Term3_Apr_Jul,36.1,0,34.0,5,52.3,0,MEDIUM
STU-00225,2,low_cost_private,2025,Term3_Apr_Jul,30.3,0,49.8,1,41.2,2,MEDIUM
STU-00226,2,low_cost_private,2024,Term3_Apr_Jul,25.9,0,43.5,10,37.5,5,HIGH
STU-00227,1,elite_private,2023,Term2_Jan_Apr,0.9,0,99.2,1,89.5,0,LOW
STU-00228,2,low_cost_private,2024,Term2_Jan_Apr,18.3,0,88.8,0,73.1,0,LOW
STU-00229,3,public_state,2025,Term1_Sep_Dec,7.4,0,56.3,0,39.6,3,MEDIUM
STU-00230,1,elite_private,2025,Term1_Sep_Dec,0,1,98.4,2,91.4,0,LOW
STU-00231,3,public_state,2024,Term3_Apr_Jul,9.8,0,60.4,0,38.6,3,MEDIUM
STU-00232,3,public_state,2024,Term2_Jan_Apr,17.1,0,55.1,6,54.8,1,MEDIUM
STU-00233,1,elite_private,2025,Term3_Apr_Jul,11.1,0,69.8,1,53.1,3,MEDIUM
STU-00234,2,low_cost_private,2025,Term2_Jan_Apr,25.5,0,42.7,0,29.2,4,MEDIUM
STU-00235,2,low_cost_private,2025,Term3_Apr_Jul,11.9,0,46.3,11,72.4,0,MEDIUM
STU-00236,2,low_cost_private,2025,Term1_Sep_Dec,60.4,0,58.4,1,52.8,4,HIGH
STU-00237,3,public_state,2024,Term3_Apr_Jul,5.0,0,80.8,1,80.6,0,LOW
STU-00238,1,elite_private,2025,Term3_Apr_Jul,14,0,,,,,WITHDRAWN
STU-00239,1,elite_private,2025,Term1_Sep_Dec,0,1,99.2,1,86.4,0,LOW
STU-00240,2,low_cost_private,2023,Term3_Apr_Jul,63.9,0,45.4,5,56.5,0,MEDIUM
STU-00241,2,low_cost_private,2023,Term3_Apr_Jul,38.5,0,66.1,0,47.3,1,MEDIUM
STU-00242,3,public_state,2023,Term3_Apr_Jul,60,0,41.1,0,28.7,4,HIGH
STU-00243,2,low_cost_private,2023,Term3_Apr_Jul,45.1,0,53.2,1,40.6,3,MEDIUM
STU-00244,3,public_state,2024,Term1_Sep_Dec,52.3,0,73.3,7,20,6,HIGH
STU-00245,3,public_state,2023,Term3_Apr_Jul,17.5,0,39.7,9,23.4,2,HIGH
STU-00246,3,public_state,2024,Term3_Apr_Jul,11.8,0,62.2,3,48.0,0,MEDIUM
STU-00247,1,elite_private,2025,Term3_Apr_Jul,0,1,99.2,1,86.0,0,LOW
STU-00248,2,low_cost_private,2023,Term3_Apr_Jul,36.5,0,36.5,9,34.3,4,HIGH
STU-00249,1,elite_private,2023,Term1_Sep_Dec,0,1,99.2,1,89.8,0,LOW
STU-00250,1,elite_private,2024,Term3_Apr_Jul,14,0,,,,,WITHDRAWN
STU-00251,2,low_cost_private,2025,Term1_Sep_Dec,55.2,0,43.4,10,41.1,3,HIGH
STU-00252,1,elite_private,2024,Term1_Sep_Dec,0,1,99.2,1,99.4,0,LOW
STU-00253,2,low_cost_private,2024,Term2_Jan_Apr,37.5,0,24.6,10,42.1,3,HIGH
STU-00254,2,low_cost_private,2023,Term3_Apr_Jul,35.4,0,39.7,5,35.8,5,HIGH
STU-00255,2,low_cost_private,2023,Term3_Apr_Jul,89.6,0,39.3,13,59.2,0,HIGH
STU-00256,3,public_state,2025,Term1_Sep_Dec,29.7,0,68.9,1,53.4,1,MEDIUM
STU-00257,3,public_state,2025,Term2_Jan_Apr,19.7,0,47.0,0,20,3,MEDIUM
STU-00258,1,elite_private,2024,Term3_Apr_Jul,0,1,100,0,95.3,0,LOW
STU-00259,3,public_state,2025,Term3_Apr_Jul,27.1,0,37.6,3,22.2,5,HIGH
STU-00260,2,low_cost_private,2024,Term3_Apr_Jul,20.3,0,41.3,10,71.2,0,MEDIUM
STU-00261,3,public_state,2025,Term3_Apr_Jul,18.4,0,59.1,3,25.9,3,HIGH
STU-00262,2,low_cost_private,2024,Term2_Jan_Apr,49.6,0,77.0,4,63.6,0,MEDIUM
STU-00263,3,public_state,2024,Term3_Apr_Jul,36.1,0,48.5,7,21.9,4,HIGH
STU-00264,2,low_cost_private,2025,Term1_Sep_Dec,30.9,0,61.4,8,27.9,2,HIGH
STU-00265,2,low_cost_private,2023,Term2_Jan_Apr,28.6,0,43.6,1,22.7,3,HIGH
STU-00266,2,low_cost_private,2025,Term1_Sep_Dec,45.4,0,54.2,0,57.4,1,MEDIUM
STU-00267,2,low_cost_private,2024,Term2_Jan_Apr,82.5,0,62.8,5,20,5,HIGH
STU-00268,1,elite_private,2024,Term2_Jan_Apr,14,0,,,,,WITHDRAWN
STU-00269,1,elite_private,2024,Term1_Sep_Dec,0,1,100,0,94.6,0,LOW
STU-00270,1,elite_private,2024,Term2_Jan_Apr,0,1,98.4,2,84.1,0,LOW
STU-00271,2,low_cost_private,2023,Term1_Sep_Dec,60.0,0,46.6,9,43.0,2,HIGH
STU-00272,3,public_state,2025,Term3_Apr_Jul,9.2,0,55.9,3,41.5,2,MEDIUM
STU-00273,1,elite_private,2024,Term1_Sep_Dec,0,1,99.2,1,100,0,LOW
